"country","GdpPerCapitaUN","GdpDataYearUN","GdpPerCapitaWB","GdpDataYearWB","GniPerCapitaAtlasWB"
"Luxembourg",133745,2021,133590,2021,88190
"Ireland",101109,2021,100172,2021,76110
"Switzerland",93525,2021,91992,2021,90600
"Norway",89242,2021,89154,2021,83880
"United States",69185,2021,70249,2021,70930
"Iceland",69133,2021,68728,2021,63460
"Denmark",68037,2021,68008,2021,68300
"Australia",66916,2021,60443,2021,57170
"Singapore",66822,2021,72794,2021,64010
"Qatar",66799,2021,66838,2021,62310
"Sweden",60730,2021,61029,2021,59540
"Netherlands",57871,2021,57768,2021,55200
"Israel",54111,2021,52171,2021,49290
"Austria",53840,2021,53638,2021,52760
"Finland",53703,2021,53655,2021,53510
"Canada",52112,2021,51988,2021,48310
"Belgium",51166,2021,51247,2021,50490
"Germany",51073,2021,51204,2021,51660
"Hong Kong",49259,2021,49801,2021,54460
"New Zealand",48824,2021,48781,2021,45230
"United Kingdom",46542,2021,46510,2021,44480
"France",44229,2021,43659,2021,44160
"Macau",43555,2021,43874,2021,46450
"United Arab Emirates",43295,2021,44316,2021,41770
"Japan",39650,2021,39313,2021,42650
"Italy",35579,2021,35658,2021,35990
"New Caledonia",34994,2021,37160,2021,13210
"South Korea",34940,2021,34998,2021,35110
"Malta",33642,2021,33487,2021,30760
"Puerto Rico",32716,2021,32641,2021,22580
"Cyprus",32281,2021,31552,2021,28470
"Lebanon",32252,2021,4136,2021,5110
"Kuwait",32150,2021,24300,2020,34290
"Brunei",31449,2021,31449,2021,30320
"Spain",30058,2021,30104,2021,29690
"Aruba",29342,2021,29342,2021,29390
"Slovenia",29135,2021,29291,2021,28280
"Estonia",27991,2021,27944,2021,26460
"Bahamas",27478,2021,27478,2021,26490
"Bahrain",26563,2021,26563,2021,22950
"Portugal",24651,2021,24568,2021,23890
"Lithuania",23844,2021,23723,2021,21740
"Saudi Arabia",23186,2021,23186,2021,21540
"Slovakia",21390,2021,21392,2021,20640
"Latvia",21267,2021,21148,2021,19790
"Greece",20571,2021,20193,2021,20000
"French Polynesia",19915,2021,19915,2021,18560
"Oman",19509,2021,19510,2021,17950
"Hungary",18728,2021,18728,2021,17740
"Iran",17984,2021,4091,2021,3530
"Poland",17736,2021,18000,2021,16850
"Uruguay",17313,2021,17313,2021,16080
"Barbados",17225,2021,17226,2021,16900
"Croatia",16983,2021,17685,2021,17630
"Chile",16265,2021,16265,2021,14780
"Trinidad and Tobago",16033,2021,16033,2021,15000
"Antigua and Barbuda",15246,2021,15781,2021,15780
"Romania",14698,2021,14858,2021,14160
"Panama",14618,2021,14618,2021,13920
"Curacao",14183,2021,17718,2021,18430
"Costa Rica",12472,2021,12472,2021,12310
"China",12437,2021,12556,2021,11880
"Russia",12259,2021,12195,2021,11610
"Bulgaria",12207,2021,12222,2021,11200
"Seychelles",12085,2021,14653,2021,14540
"Cuba",11255,2021,9500,2020,8920
"Malaysia",11101,2021,11109,2021,10710
"Argentina",10761,2021,10636,2021,9960
"Maldives",10366,2021,10366,2021,9600
"Kazakhstan",10055,2021,10374,2021,8880
"Mexico",10046,2021,10046,2021,9590
"Saint Lucia",9824,2021,9414,2021,9520
"Turkey",9661,2021,9661,2021,9900
"Montenegro",9252,2021,9466,2021,9340
"Guyana",9026,2021,9999,2021,9410
"Grenada",8950,2021,9011,2021,8590
"Mauritius",8873,2021,9106,2021,9920
"Serbia",8643,2021,9230,2021,8460
"Turkmenistan",8508,2021,7345,2019,6970
"Dominican Republic",8477,2021,8477,2021,8100
"Saint Vincent and the Grenadines",8440,2021,8666,2021,8720
"Gabon",7911,2021,8635,2021,6440
"Equatorial Guinea",7605,2021,7507,2021,5150
"Brazil",7507,2021,7507,2021,7740
"Bosnia and Herzegovina",7143,2021,7143,2021,6810
"Belarus",7121,2021,7302,2021,6940
"Thailand",7067,2021,7066,2021,7090
"South Africa",7055,2021,7055,2021,6530
"Botswana",6805,2021,6805,2021,6430
"Peru",6622,2021,6622,2021,6460
"North Macedonia",6600,2021,6695,2021,6190
"Albania",6396,2021,6493,2021,6110
"Belize",6229,2021,6228,2021,6070
"Colombia",6104,2021,6104,2021,6190
"Paraguay",6035,2021,5892,2021,5740
"Ecuador",5965,2021,5965,2021,5960
"Libya",5791,2021,6357,2021,8700
"Azerbaijan",5296,2021,5388,2021,4900
"Suriname",5259,2021,4869,2021,4410
"Jamaica",5184,2021,5184,2021,5190
"Georgia",4975,2021,5023,2021,4700
"Armenia",4967,2021,4967,2021,4850
"Guatemala",4883,2021,5026,2021,4940
"Namibia",4836,2021,4866,2021,4650
"Iraq",4686,2021,4775,2021,4760
"Fiji",4647,2021,4647,2021,4500
"Ukraine",4596,2021,4836,2021,4120
"El Salvador",4551,2021,4551,2021,4260
"Mongolia",4510,2021,4566,2021,3730
"Moldova",4468,2021,5231,2021,5370
"Tonga",4451,2021,4426,2021,4930
"Indonesia",4333,2021,4333,2021,4180
"Jordan",4058,2021,4103,2021,4170
"Eswatini",3969,2021,3978,2021,3650
"Venezuela",3965,2021,15976,2014,13010
"Samoa",3919,2021,3857,2021,3810
"Sri Lanka",3918,2021,4014,2021,4030
"Egypt",3898,2021,3699,2021,3350
"Morocco",3853,2021,3795,2021,3620
"Tunisia",3807,2021,3807,2021,3540
"Vietnam",3721,2021,3757,2021,3590
"Algeria",3700,2021,3691,2021,3660
"Micronesia",3573,2021,3571,2021,3980
"Palestine",3514,2021,3664,2021,4220
"Philippines",3461,2021,3461,2021,3550
"Djibouti",3348,2021,3150,2021,3080
"Bolivia",3345,2021,3345,2021,3290
"Cape Verde",3293,2021,3293,2021,3190
"Vanuatu",3073,2021,2997,2021,3240
"Bhutan",3063,2021,3266,2021,3040
"Honduras",2772,2021,2772,2021,2490
"Papua New Guinea",2673,2021,2673,2021,2460
"Laos",2569,2021,2536,2021,2500
"Ivory Coast",2539,2021,2549,2021,2420
"Sao Tome and Principe",2486,2021,2361,2021,2260
"Bangladesh",2450,2021,2458,2021,2570
"Ghana",2409,2021,2363,2021,2280
"Solomon Islands",2306,2021,2305,2021,2320
"India",2274,2021,2257,2021,2150
"Angola",2258,2021,1954,2021,1710
"Republic of the Congo",2200,2021,2290,2021,1970
"Mauritania",2166,2021,2166,2021,1950
"Kenya",2086,2021,2082,2021,2080
"Nicaragua",2046,2021,2046,2021,1950
"Uzbekistan",2032,2021,1983,2021,1960
"Nigeria",2019,2021,2066,2021,2080
"Cameroon",1668,2021,1667,2021,1590
"Haiti",1664,2021,1830,2021,1430
"Senegal",1637,2021,1637,2021,1570
"Comoros",1631,2021,1578,2021,1580
"Cambodia",1608,2021,1625,2021,1580
"Timor-Leste",1517,2021,2741,2021,1140
"Zimbabwe",1508,2021,1774,2021,1530
"Pakistan",1480,2021,1505,2021,1470
"Benin",1361,2021,1319,2021,1350
"Kyrgyzstan",1339,2021,1277,2021,1180
"Guinea",1185,2021,1189,2021,1020
"Nepal",1159,2021,1208,2021,1220
"Tanzania",1136,2021,1099,2021,1100
"Zambia",1095,2021,1137,2021,1030
"Myanmar",1089,2021,1210,2021,1170
"Lesotho",1040,2021,1094,2021,1210
"Chad",955,2021,686,2021,640
"Togo",944,2021,973,2021,960
"Uganda",930,2021,884,2021,760
"Syria",925,2021,533,2020,760
"Tajikistan",897,2021,897,2021,1150
"Burkina Faso",893,2021,893,2021,830
"Mali",875,2021,874,2021,820
"Ethiopia",825,2021,925,2021,940
"Rwanda",822,2021,822,2021,840
"Gambia",772,2021,772,2021,740
"Guinea-Bissau",759,2021,795,2021,760
"North Korea",654,2021,,,
"Eritrea",623,2021,644,2011,610
"Malawi",613,2021,635,2021,620
"Niger",591,2021,591,2021,590
"DR Congo",551,2021,577,2021,550
"Sierra Leone",505,2021,480,2021,500
"Madagascar",500,2021,501,2021,490
"Mozambique",492,2021,492,2021,480
"Liberia",471,2021,676,2021,630
"Central African Republic",461,2021,461,2021,480
"Sudan",453,2021,752,2021,650
"Somalia",447,2021,447,2021,430
"South Sudan",400,2021,1072,2015,1040
"Afghanistan",373,2021,369,2021,390
"Burundi",311,2021,222,2021,220
"Yemen",302,2021,702,2018,840
"Guam",,,35905,2021,84580
"Kiribati",1765,2021,1607,2021,2750
"Isle of Man",,,87158,2019,
"Monaco",234317,2021,234316,2021,
"Liechtenstein",169260,2021,157755,2020,116600
"Bermuda",112653,2021,114090,2021,122470
"Cayman Islands",85250,2021,86569,2021,61880
"Greenland",58185,2021,54571,2020,34800
"San Marino",50425,2021,45320,2020,41450
"Andorra",42066,2021,42137,2021,46530
"Sint Maarten",26199,2021,28988,2018,27510
"Turks and Caicos Islands",20909,2021,20909,2021,21410
"Dominica",7571,2021,7653,2021,7790
"Faroe Islands",,,69010,2021,
"Northern Mariana Islands",,,23707,2019,
"Saint Kitts and Nevis",18083,2021,18083,2021,18820
"American Samoa",,,15743,2021,
"Marshall Islands",6111,2021,6172,2021,6780
"Saint Martin",,,21921,2014,
"British Virgin Islands",49444,2021,,,
"Cook Islands",19264,2021,,,
"Anguilla",19216,2021,,,
"Montserrat",16199,2021,,,
"Nauru",12390,2021,10648,2021,16920
"Palau",12084,2021,12084,2021,12790
"Tuvalu",5370,2021,5632,2021,7200
"Netherlands Antilles",58061,2021,,,
